Scenario,Route A,Route B,Route C,Route D
Candidate clarifies question,PASS,PASS,PASS,FAIL
Bad phone line,PASS,PASS,PASS,PASS
Jumps to salary early,PASS,PASS,PASS,PASS
Candidate gets emotional,PASS,PASS,PASS,PASS
Wrong person picks up,PASS,PASS,PASS,FAIL
Candidate gets aggressive,PASS,PASS,PASS,PASS
Candidate gets distracted,PASS,PASS,PASS,PASS
Switches to English,PASS,PASS,PASS,FAIL
Thinks call is over,PASS,PASS,PASS,PASS
Keeps repeating answer,PASS,PASS,PASS,PASS
Total,10/10 (100%),10/10 (100%),10/10 (100%),7/10 (70%)
